 ,X,Y
1207,112.500,162.500
1208,117.500,162.500
1209,122.500,162.500
1210,127.500,162.500
1211,132.500,162.500
1212,137.500,162.500
1213,142.500,162.500
1214,147.500,162.500
1215,152.500,162.500
1216,157.500,162.500
1217,162.500,162.500
1218,167.500,162.500
1219,172.500,162.500
1220,177.500,162.500
1221,180.500,162.500
1222,2.500,167.500
1223,7.500,167.500
1224,12.500,167.500
1225,17.500,167.500
1226,22.500,167.500
1227,27.500,167.500
1228,32.500,167.500
1229,37.500,167.500
1230,42.500,167.500
1231,47.500,167.500
1232,52.500,167.500
1233,57.500,167.500
1234,62.500,167.500
1235,67.500,167.500
1236,72.500,167.500
1237,77.500,167.500
1238,82.500,167.500
1239,87.500,167.500
1240,92.500,167.500
1241,97.500,167.500
1242,102.500,167.500
1243,107.500,167.500
1244,112.500,167.500
1245,117.500,167.500
1246,122.500,167.500
1247,127.500,167.500
1248,132.500,167.500
1249,137.500,167.500
1250,142.500,167.500
1251,147.500,167.500
1252,152.500,167.500
1253,157.500,167.500
1254,162.500,167.500
1255,167.500,167.500
1256,172.500,167.500
1257,177.500,167.500
1258,180.500,167.500
1259,2.500,172.500
1260,7.500,172.500
1261,12.500,172.500
1262,17.500,172.500
1263,22.500,172.500
1264,27.500,172.500
1265,32.500,172.500
1266,37.500,172.500
1267,42.500,172.500
1268,47.500,172.500
1269,52.500,172.500
1270,57.500,172.500
1271,62.500,172.500
1272,67.500,172.500
1273,72.500,172.500
1274,77.500,172.500
1275,82.500,172.500
1276,87.500,172.500
1277,92.500,172.500
1278,97.500,172.500
1279,102.500,172.500
1280,107.500,172.500
1281,112.500,172.500
1282,117.500,172.500
1283,122.500,172.500
1284,127.500,172.500
1285,132.500,172.500
1286,137.500,172.500
1287,142.500,172.500
1288,147.500,172.500
1289,152.500,172.500
1290,157.500,172.500
1291,162.500,172.500
1292,167.500,172.500
1293,172.500,172.500
1294,177.500,172.500
1295,180.500,172.500
1296,2.500,177.500
1297,7.500,177.500
1298,12.500,177.500
1299,17.500,177.500
1300,22.500,177.500
1301,27.500,177.500
1302,32.500,177.500
1303,37.500,177.500
1304,42.500,177.500
1305,47.500,177.500
1306,52.500,177.500
1307,57.500,177.500
1308,62.500,177.500
1309,67.500,177.500
1310,72.500,177.500
1311,77.500,177.500
1312,82.500,177.500
1313,87.500,177.500
1314,92.500,177.500
1315,97.500,177.500
1316,102.500,177.500
1317,107.500,177.500
1318,112.500,177.500
1319,117.500,177.500
1320,122.500,177.500
1321,127.500,177.500
1322,132.500,177.500
1323,137.500,177.500
1324,142.500,177.500
1325,147.500,177.500
1326,152.500,177.500
1327,157.500,177.500
1328,162.500,177.500
1329,167.500,177.500
1330,172.500,177.500
1331,177.500,177.500
1332,180.500,177.500
1333,2.500,182.500
1334,7.500,182.500
1335,12.500,182.500
1336,17.500,182.500
1337,22.500,182.500
1338,27.500,182.500
1339,32.500,182.500
1340,37.500,182.500
1341,42.500,182.500
1342,47.500,182.500
1343,52.500,182.500
1344,57.500,182.500
1345,62.500,182.500
1346,67.500,182.500
1347,72.500,182.500
1348,77.500,182.500
1349,82.500,182.500
1350,87.500,182.500
1351,92.500,182.500
1352,97.500,182.500
1353,102.500,182.500
1354,107.500,182.500
1355,112.500,182.500
1356,117.500,182.500
1357,122.500,182.500
1358,127.500,182.500
1359,132.500,182.500
